datetime_utc,model,warmup_seconds,measured_seconds,questions
2026-03-01T17:38:45+00:00,llama3.1,17,9,9
2026-03-01T17:39:50+00:00,llama3.1,3,10,9
2026-03-01T17:40:25+00:00,llama3.1,2,8,9
2026-03-01T17:42:29+00:00,mistral,12,12,9
2026-03-01T17:45:50+00:00,mistral,2,10,9
2026-03-01T17:46:55+00:00,llama3.1,10,9,9
2026-03-01T17:47:49+00:00,llama3.1,2,8,9
2026-03-01T18:44:19+00:00,llama3.1,23,12,9
2026-03-01T18:45:14+00:00,llama3.1,14,14,9
2026-03-01T18:49:54+00:00,llama3.1,4,13,9
2026-03-01T19:59:53+00:00,qwen3:latest,40,64,9
2026-03-01T20:10:21+00:00,qwen3:latest,27,22,9
2026-03-02T19:51:00+00:00,qwen3:latest,3,5,9
2026-03-02T19:52:42+00:00,qwen3:latest,2,8,9
